match_id,participant_id,participant_name
ESPORTSTMNT01_3417429,3,Zeka
ESPORTSTMNT01_3417429,4,Viper
ESPORTSTMNT01_3417429,5,Life
ESPORTSTMNT01_3417429,6,Canna
ESPORTSTMNT01_3417429,7,Canyon
ESPORTSTMNT01_3417429,8,ShowMaker
ESPORTSTMNT01_3417429,9,Deft
ESPORTSTMNT01_3417429,10,Kellin
ESPORTSTMNT01_3418384,1,Rascal
ESPORTSTMNT01_3418384,2,Croco
ESPORTSTMNT01_3418384,3,FATE
ESPORTSTMNT01_3418384,4,Paduck
ESPORTSTMNT01_3418384,5,BeryL
ESPORTSTMNT01_3418384,6,Canna
ESPORTSTMNT01_3418384,7,Canyon
ESPORTSTMNT01_3418384,8,ShowMaker
ESPORTSTMNT01_3418384,9,Deft
ESPORTSTMNT01_3418384,10,Kellin
ESPORTSTMNT01_3418429,1,Kingen
ESPORTSTMNT01_3418429,2,Grizzly
ESPORTSTMNT01_3418429,3,Zeka
ESPORTSTMNT01_3418429,4,Viper
ESPORTSTMNT01_3418429,5,Life
ESPORTSTMNT01_3418429,6,Canna
ESPORTSTMNT01_3418429,7,Canyon
ESPORTSTMNT01_3418429,8,ShowMaker
ESPORTSTMNT01_3418429,9,Deft
ESPORTSTMNT01_3418429,10,Kellin
ESPORTSTMNT02_3041846,1,ADD
ESPORTSTMNT02_3041846,2,Grell
ESPORTSTMNT02_3041846,3,Seiya
ESPORTSTMNT02_3041846,4,Gavotto
ESPORTSTMNT02_3041846,5,Jelly
ESPORTSTMNT02_3041846,6,Armut
ESPORTSTMNT02_3041846,7,Elyoya
ESPORTSTMNT02_3041846,8,Nisqy
ESPORTSTMNT02_3041846,9,UNF0RGIVEN
ESPORTSTMNT02_3041846,10,Kaiser
ESPORTSTMNT02_3041862,1,Wunder
ESPORTSTMNT02_3041862,2,Razork
ESPORTSTMNT02_3041862,3,Humanoid
ESPORTSTMNT02_3041862,4,Upset
ESPORTSTMNT02_3041862,5,Rhuckz
ESPORTSTMNT02_3041862,6,Impact
ESPORTSTMNT02_3041862,7,Inspired
ESPORTSTMNT02_3041862,8,Jojopyun
ESPORTSTMNT02_3041862,9,Kaori
ESPORTSTMNT02_3041862,10,VULCAN
ESPORTSTMNT02_3041903,1,Robo
ESPORTSTMNT02_3041903,2,Croc
ESPORTSTMNT02_3041903,3,tinowns
ESPORTSTMNT02_3041903,4,Brance
ESPORTSTMNT02_3041903,5,Ceos
ESPORTSTMNT02_3041903,6,Likai
ESPORTSTMNT02_3041903,7,Husha
ESPORTSTMNT02_3041903,8,Minji
ESPORTSTMNT02_3041903,9,Wako
ESPORTSTMNT02_3041903,10,LanPeiFang
ESPORTSTMNT02_3041937,1,Armut
ESPORTSTMNT02_3041937,2,Elyoya
ESPORTSTMNT02_3041937,3,Nisqy
ESPORTSTMNT02_3041937,4,UNF0RGIVEN
ESPORTSTMNT02_3041937,5,Kaiser
ESPORTSTMNT02_3041937,6,StarScreen
ESPORTSTMNT02_3041937,7,Ferret
ESPORTSTMNT02_3041937,8,Serin
ESPORTSTMNT02_3041937,9,HolyPhoenix
ESPORTSTMNT02_3041937,10,Farfetch
ESPORTSTMNT02_3041983,1,Topoon
ESPORTSTMNT02_3041983,2,Mir
ESPORTSTMNT02_3041983,3,Tally
ESPORTSTMNT02_3041983,4,Raes
ESPORTSTMNT02_3041983,5,Aladoric
ESPORTSTMNT02_3041983,6,Wunder
ESPORTSTMNT02_3041983,7,Razork
ESPORTSTMNT02_3041983,8,Humanoid
ESPORTSTMNT02_3041983,9,Upset
ESPORTSTMNT02_3041983,10,Rhuckz
ESPORTSTMNT02_3041990,1,Evi
ESPORTSTMNT02_3041990,2,Steal
ESPORTSTMNT02_3041990,3,Yaharong
ESPORTSTMNT02_3041990,4,Yutapon
ESPORTSTMNT02_3041990,5,Harp
ESPORTSTMNT02_3041990,6,Robo
ESPORTSTMNT02_3041990,7,Croc
ESPORTSTMNT02_3041990,8,tinowns
ESPORTSTMNT02_3041990,9,Brance
ESPORTSTMNT02_3041990,10,Ceos
ESPORTSTMNT02_3042003,1,Hasmed
ESPORTSTMNT02_3042003,2,BeanJ
ESPORTSTMNT02_3042003,3,Froggy
ESPORTSTMNT02_3042003,4,Shogun
ESPORTSTMNT02_3042003,5,Taki
ESPORTSTMNT02_3042003,6,StarScreen
ESPORTSTMNT02_3042003,7,Ferret
ESPORTSTMNT02_3042003,8,Serin
ESPORTSTMNT02_3042003,9,HolyPhoenix
ESPORTSTMNT02_3042003,10,Farfetch
ESPORTSTMNT02_3042025,1,Kingen
ESPORTSTMNT02_3042025,2,Pyosik
ESPORTSTMNT02_3042025,3,Zeka
ESPORTSTMNT02_3042025,4,Deft
ESPORTSTMNT02_3042025,5,BeryL
ESPORTSTMNT02_3042025,6,Breathe
ESPORTSTMNT02_3042025,7,Wei
ESPORTSTMNT02_3042025,8,Xiaohu
ESPORTSTMNT02_3042025,9,GALA
ESPORTSTMNT02_3042025,10,Ming
ESPORTSTMNT02_3042187,1,Wunder
ESPORTSTMNT02_3042187,2,Razork
ESPORTSTMNT02_3042187,3,Humanoid
ESPORTSTMNT02_3042187,4,Upset
ESPORTSTMNT02_3042187,5,Hylissang
ESPORTSTMNT02_3042187,6,Evi
ESPORTSTMNT02_3042187,7,Steal
ESPORTSTMNT02_3042187,8,Yaharong
ESPORTSTMNT02_3042187,9,Yutapon
ESPORTSTMNT02_3042187,10,Harp
ESPORTSTMNT02_3042251,1,Impact
ESPORTSTMNT02_3042251,2,Inspired
ESPORTSTMNT02_3042251,3,Jojopyun
ESPORTSTMNT02_3042251,4,Kaori
ESPORTSTMNT02_3042251,5,VULCAN
ESPORTSTMNT02_3042251,6,Robo
ESPORTSTMNT02_3042251,7,Croc
ESPORTSTMNT02_3042251,8,tinowns
ESPORTSTMNT02_3042251,9,Brance
ESPORTSTMNT02_3042251,10,Ceos
ESPORTSTMNT02_3042301,1,Impact
ESPORTSTMNT02_3042301,2,Inspired
ESPORTSTMNT02_3042301,3,Jojopyun
ESPORTSTMNT02_3042301,4,Kaori
ESPORTSTMNT02_3042301,5,VULCAN
ESPORTSTMNT02_3042301,6,Likai
ESPORTSTMNT02_3042301,7,Husha
ESPORTSTMNT02_3042301,8,Minji
ESPORTSTMNT02_3042301,9,Wako
ESPORTSTMNT02_3042301,10,LanPeiFang
ESPORTSTMNT02_3042846,1,Likai
ESPORTSTMNT02_3042846,2,Husha
ESPORTSTMNT02_3042846,3,Minji
ESPORTSTMNT02_3042846,4,Wako
ESPORTSTMNT02_3042846,5,LanPeiFang
ESPORTSTMNT02_3042846,6,Wunder
ESPORTSTMNT02_3042846,7,Razork
ESPORTSTMNT02_3042846,8,Humanoid
ESPORTSTMNT02_3042846,9,Upset
ESPORTSTMNT02_3042846,10,Hylissang
ESPORTSTMNT02_3042864,1,Robo
ESPORTSTMNT02_3042864,2,Croc
ESPORTSTMNT02_3042864,3,tinowns
ESPORTSTMNT02_3042864,4,Brance
ESPORTSTMNT02_3042864,5,Ceos
ESPORTSTMNT02_3042864,6,Topoon
ESPORTSTMNT02_3042864,7,Mir
ESPORTSTMNT02_3042864,8,Tally
ESPORTSTMNT02_3042864,9,Raes
ESPORTSTMNT02_3042864,10,Aladoric
ESPORTSTMNT02_3042881,1,Evi
ESPORTSTMNT02_3042881,2,Steal
ESPORTSTMNT02_3042881,3,Yaharong
ESPORTSTMNT02_3042881,4,Yutapon
ESPORTSTMNT02_3042881,5,Harp
ESPORTSTMNT02_3042881,6,Impact
ESPORTSTMNT02_3042881,7,Inspired
ESPORTSTMNT02_3042881,8,Jojopyun
ESPORTSTMNT02_3042881,9,Kaori
ESPORTSTMNT02_3042881,10,VULCAN
ESPORTSTMNT02_3042903,1,StarScreen
ESPORTSTMNT02_3042903,2,Ferret
ESPORTSTMNT02_3042903,3,Serin
ESPORTSTMNT02_3042903,4,HolyPhoenix
ESPORTSTMNT02_3042903,5,Farfetch
ESPORTSTMNT02_3042903,6,ADD
ESPORTSTMNT02_3042903,7,Grell
ESPORTSTMNT02_3042903,8,Seiya
ESPORTSTMNT02_3042903,9,Gavotto
ESPORTSTMNT02_3042903,10,Jelly
ESPORTSTMNT02_3042921,1,Kingen
ESPORTSTMNT02_3042921,2,Pyosik
ESPORTSTMNT02_3042921,3,Zeka
ESPORTSTMNT02_3042921,4,Deft
ESPORTSTMNT02_3042921,5,BeryL
ESPORTSTMNT02_3042921,6,Armut
ESPORTSTMNT02_3042921,7,Elyoya
ESPORTSTMNT02_3042921,8,Nisqy
ESPORTSTMNT02_3042921,9,UNF0RGIVEN
ESPORTSTMNT02_3042921,10,Kaiser
ESPORTSTMNT02_3042943,1,Breathe
ESPORTSTMNT02_3042943,2,Wei
ESPORTSTMNT02_3042943,3,Xiaohu
ESPORTSTMNT02_3042943,4,GALA
ESPORTSTMNT02_3042943,5,Ming
ESPORTSTMNT02_3042943,6,Hasmed
ESPORTSTMNT02_3042943,7,BeanJ
ESPORTSTMNT02_3042943,8,Froggy
ESPORTSTMNT02_3042943,9,Shogun
ESPORTSTMNT02_3042943,10,Taki
ESPORTSTMNT02_3042965,1,Impact
ESPORTSTMNT02_3042965,2,Inspired
ESPORTSTMNT02_3042965,3,Jojopyun
ESPORTSTMNT02_3042965,4,Kaori
ESPORTSTMNT02_3042965,5,VULCAN
ESPORTSTMNT02_3042965,6,Evi
ESPORTSTMNT02_3042965,7,Steal
ESPORTSTMNT02_3042965,8,Yaharong
ESPORTSTMNT02_3042965,9,Yutapon
ESPORTSTMNT02_3042965,10,Harp
ESPORTSTMNT02_3042987,1,Robo
ESPORTSTMNT02_3042987,2,Croc
ESPORTSTMNT02_3042987,3,tinowns
ESPORTSTMNT02_3042987,4,Brance
ESPORTSTMNT02_3042987,5,Ceos
ESPORTSTMNT02_3042987,6,Impact
ESPORTSTMNT02_3042987,7,Inspired
ESPORTSTMNT02_3042987,8,Jojopyun
ESPORTSTMNT02_3042987,9,Kaori
ESPORTSTMNT02_3042987,10,VULCAN
ESPORTSTMNT02_3043190,1,Armut
ESPORTSTMNT02_3043190,2,Elyoya
ESPORTSTMNT02_3043190,3,Nisqy
ESPORTSTMNT02_3043190,4,UNF0RGIVEN
ESPORTSTMNT02_3043190,5,Kaiser
ESPORTSTMNT02_3043190,6,Hasmed
ESPORTSTMNT02_3043190,7,BeanJ
ESPORTSTMNT02_3043190,8,Froggy
ESPORTSTMNT02_3043190,9,Shogun
ESPORTSTMNT02_3043190,10,Taki
ESPORTSTMNT02_3043245,1,Armut
ESPORTSTMNT02_3043245,2,Elyoya
ESPORTSTMNT02_3043245,3,Nisqy
ESPORTSTMNT02_3043245,4,UNF0RGIVEN
ESPORTSTMNT02_3043245,5,Kaiser
ESPORTSTMNT02_3043245,6,Hasmed
ESPORTSTMNT02_3043245,7,BeanJ
ESPORTSTMNT02_3043245,8,Froggy
ESPORTSTMNT02_3043245,9,Shogun
ESPORTSTMNT02_3043245,10,Taki
ESPORTSTMNT02_3043269,1,Hasmed
ESPORTSTMNT02_3043269,2,BeanJ
ESPORTSTMNT02_3043269,3,Froggy
ESPORTSTMNT02_3043269,4,Shogun
ESPORTSTMNT02_3043269,5,Taki
ESPORTSTMNT02_3043269,6,Armut
ESPORTSTMNT02_3043269,7,Elyoya
ESPORTSTMNT02_3043269,8,Nisqy
ESPORTSTMNT02_3043269,9,UNF0RGIVEN
ESPORTSTMNT02_3043269,10,Kaiser
ESPORTSTMNT02_3043280,1,Hasmed
ESPORTSTMNT02_3043280,2,BeanJ
ESPORTSTMNT02_3043280,3,Froggy
ESPORTSTMNT02_3043280,4,Shogun
ESPORTSTMNT02_3043280,5,Taki
ESPORTSTMNT02_3043280,6,Armut
ESPORTSTMNT02_3043280,7,Elyoya
ESPORTSTMNT02_3043280,8,Nisqy
ESPORTSTMNT02_3043280,9,UNF0RGIVEN
ESPORTSTMNT02_3043280,10,Kaiser
ESPORTSTMNT02_3043302,1,Robo
ESPORTSTMNT02_3043302,2,Croc
ESPORTSTMNT02_3043302,3,tinowns
ESPORTSTMNT02_3043302,4,Brance
ESPORTSTMNT02_3043302,5,Ceos
ESPORTSTMNT02_3043302,6,Evi
ESPORTSTMNT02_3043302,7,Steal
ESPORTSTMNT02_3043302,8,Yaharong
ESPORTSTMNT02_3043302,9,Yutapon
ESPORTSTMNT02_3043302,10,Harp
ESPORTSTMNT02_3043333,1,Evi
ESPORTSTMNT02_3043333,2,Steal
ESPORTSTMNT02_3043333,3,Yaharong
ESPORTSTMNT02_3043333,4,Yutapon
ESPORTSTMNT02_3043333,5,Harp
ESPORTSTMNT02_3043333,6,Robo
ESPORTSTMNT02_3043333,7,Croc
ESPORTSTMNT02_3043333,8,tinowns
ESPORTSTMNT02_3043333,9,Brance
ESPORTSTMNT02_3043333,10,Ceos
ESPORTSTMNT02_3043345,1,Robo
ESPORTSTMNT02_3043345,2,Croc
ESPORTSTMNT02_3043345,3,tinowns
ESPORTSTMNT02_3043345,4,Brance
ESPORTSTMNT02_3043345,5,Ceos
ESPORTSTMNT02_3043345,6,Evi
ESPORTSTMNT02_3043345,7,Steal
ESPORTSTMNT02_3043345,8,Yaharong
ESPORTSTMNT02_3043345,9,Yutapon
ESPORTSTMNT02_3043345,10,Harp
ESPORTSTMNT02_3043363,1,Robo
ESPORTSTMNT02_3043363,2,Croc
ESPORTSTMNT02_3043363,3,tinowns
ESPORTSTMNT02_3043363,4,Brance
ESPORTSTMNT02_3043363,5,Ceos
ESPORTSTMNT02_3043363,6,Evi
ESPORTSTMNT02_3043363,7,Steal
ESPORTSTMNT02_3043363,8,Yaharong
ESPORTSTMNT02_3043363,9,Yutapon
ESPORTSTMNT02_3043363,10,Harp
ESPORTSTMNT02_3043656,1,Impact
ESPORTSTMNT02_3043656,2,Inspired
ESPORTSTMNT02_3043656,3,Jojopyun
ESPORTSTMNT02_3043656,4,Kaori
ESPORTSTMNT02_3043656,5,VULCAN
ESPORTSTMNT02_3043656,6,Armut
ESPORTSTMNT02_3043656,7,Elyoya
ESPORTSTMNT02_3043656,8,Nisqy
ESPORTSTMNT02_3043656,9,UNF0RGIVEN
ESPORTSTMNT02_3043656,10,Kaiser
ESPORTSTMNT02_3043674,1,Armut
ESPORTSTMNT02_3043674,2,Elyoya
ESPORTSTMNT02_3043674,3,Nisqy
ESPORTSTMNT02_3043674,4,UNF0RGIVEN
ESPORTSTMNT02_3043674,5,Kaiser
ESPORTSTMNT02_3043674,6,Impact
ESPORTSTMNT02_3043674,7,Inspired
ESPORTSTMNT02_3043674,8,Jojopyun
ESPORTSTMNT02_3043674,9,Kaori
ESPORTSTMNT02_3043674,10,VULCAN
ESPORTSTMNT02_3043685,1,Impact
ESPORTSTMNT02_3043685,2,Inspired
ESPORTSTMNT02_3043685,3,Jojopyun
ESPORTSTMNT02_3043685,4,Kaori
ESPORTSTMNT02_3043685,5,VULCAN
ESPORTSTMNT02_3043685,6,Armut
ESPORTSTMNT02_3043685,7,Elyoya
ESPORTSTMNT02_3043685,8,Nisqy
ESPORTSTMNT02_3043685,9,UNF0RGIVEN
ESPORTSTMNT02_3043685,10,Kaiser
ESPORTSTMNT02_3043709,1,Breathe
ESPORTSTMNT02_3043709,2,Wei
ESPORTSTMNT02_3043709,3,Xiaohu
ESPORTSTMNT02_3043709,4,GALA
ESPORTSTMNT02_3043709,5,Ming
ESPORTSTMNT02_3043709,6,Evi
ESPORTSTMNT02_3043709,7,Steal
ESPORTSTMNT02_3043709,8,Yaharong
ESPORTSTMNT02_3043709,9,Yutapon
ESPORTSTMNT02_3043709,10,Harp
ESPORTSTMNT02_3043731,1,Breathe
ESPORTSTMNT02_3043731,2,Wei
ESPORTSTMNT02_3043731,3,Xiaohu
ESPORTSTMNT02_3043731,4,GALA
ESPORTSTMNT02_3043731,5,Ming
ESPORTSTMNT02_3043731,6,Evi
ESPORTSTMNT02_3043731,7,Steal
ESPORTSTMNT02_3043731,8,Yaharong
ESPORTSTMNT02_3043731,9,Yutapon
ESPORTSTMNT02_3043731,10,Harp
ESPORTSTMNT02_3043753,1,Breathe
ESPORTSTMNT02_3043753,2,Wei
ESPORTSTMNT02_3043753,3,Xiaohu
ESPORTSTMNT02_3043753,4,GALA
ESPORTSTMNT02_3043753,5,Ming
ESPORTSTMNT02_3043753,6,Evi
ESPORTSTMNT02_3043753,7,Steal
ESPORTSTMNT02_3043753,8,Yaharong
ESPORTSTMNT02_3043753,9,Yutapon
ESPORTSTMNT02_3043753,10,Harp
ESPORTSTMNT02_3043758,1,Evi
ESPORTSTMNT02_3043758,2,Steal
ESPORTSTMNT02_3043758,3,Yaharong
ESPORTSTMNT02_3043758,4,Yutapon
ESPORTSTMNT02_3043758,5,Harp
ESPORTSTMNT02_3043758,6,Breathe
ESPORTSTMNT02_3043758,7,Wei
ESPORTSTMNT02_3043758,8,Xiaohu
ESPORTSTMNT02_3043758,9,GALA
ESPORTSTMNT02_3043758,10,Ming
ESPORTSTMNT02_3045120,1,Fudge
ESPORTSTMNT02_3045120,2,Blaber
ESPORTSTMNT02_3045120,3,Jensen
ESPORTSTMNT02_3045120,4,Berserker
ESPORTSTMNT02_3045120,5,Zven
ESPORTSTMNT02_3045120,6,Wunder
ESPORTSTMNT02_3045120,7,Razork
ESPORTSTMNT02_3045120,8,Humanoid
ESPORTSTMNT02_3045120,9,Upset
ESPORTSTMNT02_3045120,10,Hylissang
ESPORTSTMNT02_3045181,1,BrokenBlade
ESPORTSTMNT02_3045181,2,Jankos
ESPORTSTMNT02_3045181,3,Caps
ESPORTSTMNT02_3045181,4,Flakked
ESPORTSTMNT02_3045181,5,Targamas
ESPORTSTMNT02_3045181,6,Nuguri
ESPORTSTMNT02_3045181,7,Canyon
ESPORTSTMNT02_3045181,8,ShowMaker
ESPORTSTMNT02_3045181,9,deokdam
ESPORTSTMNT02_3045181,10,Kellin
ESPORTSTMNT02_3045196,1,Rest
ESPORTSTMNT02_3045196,2,Gemini
ESPORTSTMNT02_3045196,3,Mission
ESPORTSTMNT02_3045196,4,Shunn
ESPORTSTMNT02_3045196,5,Koala
ESPORTSTMNT02_3045196,6,Ssumday
ESPORTSTMNT02_3045196,7,Closer
ESPORTSTMNT02_3045196,8,Abbedagge
ESPORTSTMNT02_3045196,9,FBI
ESPORTSTMNT02_3045196,10,huhi
ESPORTSTMNT02_3045209,1,369
ESPORTSTMNT02_3045209,2,Kanavi
ESPORTSTMNT02_3045209,3,Yagao
ESPORTSTMNT02_3045209,4,Hope
ESPORTSTMNT02_3045209,5,MISSING
ESPORTSTMNT02_3045209,6,Impact
ESPORTSTMNT02_3045209,7,Inspired
ESPORTSTMNT02_3045209,8,Jojopyun
ESPORTSTMNT02_3045209,9,Kaori
ESPORTSTMNT02_3045209,10,VULCAN
ESPORTSTMNT02_3045232,1,Zeus
ESPORTSTMNT02_3045232,2,Oner
ESPORTSTMNT02_3045232,3,Faker
ESPORTSTMNT02_3045232,4,Gumayusi
ESPORTSTMNT02_3045232,5,Keria
ESPORTSTMNT02_3045232,6,Flandre
ESPORTSTMNT02_3045232,7,Jiejie
ESPORTSTMNT02_3045232,8,Scout
ESPORTSTMNT02_3045232,9,Viper
ESPORTSTMNT02_3045232,10,Meiko
ESPORTSTMNT02_3045259,1,Doran
ESPORTSTMNT02_3045259,2,Peanut
ESPORTSTMNT02_3045259,3,Chovy
ESPORTSTMNT02_3045259,4,Ruler
ESPORTSTMNT02_3045259,5,Lehends
ESPORTSTMNT02_3045259,6,Breathe
ESPORTSTMNT02_3045259,7,Wei
ESPORTSTMNT02_3045259,8,Xiaohu
ESPORTSTMNT02_3045259,9,GALA
ESPORTSTMNT02_3045259,10,Ming
ESPORTSTMNT02_3045416,1,Odoamne
ESPORTSTMNT02_3045416,2,Malrang
ESPORTSTMNT02_3045416,3,Larssen
ESPORTSTMNT02_3045416,4,Comp
ESPORTSTMNT02_3045416,5,Trymbi
ESPORTSTMNT02_3045416,6,Kingen
ESPORTSTMNT02_3045416,7,Juhan
ESPORTSTMNT02_3045416,8,Zeka
ESPORTSTMNT02_3045416,9,Deft
ESPORTSTMNT02_3045416,10,BeryL
ESPORTSTMNT02_3045459,1,Impact
ESPORTSTMNT02_3045459,2,Inspired
ESPORTSTMNT02_3045459,3,Jojopyun
ESPORTSTMNT02_3045459,4,Kaori
ESPORTSTMNT02_3045459,5,VULCAN
ESPORTSTMNT02_3045459,6,BrokenBlade
ESPORTSTMNT02_3045459,7,Jankos
ESPORTSTMNT02_3045459,8,Caps
ESPORTSTMNT02_3045459,9,Flakked
ESPORTSTMNT02_3045459,10,Targamas
ESPORTSTMNT02_3045472,1,Wunder
ESPORTSTMNT02_3045472,2,Razork
ESPORTSTMNT02_3045472,3,Humanoid
ESPORTSTMNT02_3045472,4,Upset
ESPORTSTMNT02_3045472,5,Hylissang
ESPORTSTMNT02_3045472,6,Zeus
ESPORTSTMNT02_3045472,7,Oner
ESPORTSTMNT02_3045472,8,Faker
ESPORTSTMNT02_3045472,9,Gumayusi
ESPORTSTMNT02_3045472,10,Keria
ESPORTSTMNT02_3045480,1,Flandre
ESPORTSTMNT02_3045480,2,Jiejie
ESPORTSTMNT02_3045480,3,Scout
ESPORTSTMNT02_3045480,4,Viper
ESPORTSTMNT02_3045480,5,Meiko
ESPORTSTMNT02_3045480,6,Fudge
ESPORTSTMNT02_3045480,7,Blaber
ESPORTSTMNT02_3045480,8,Jensen
ESPORTSTMNT02_3045480,9,Berserker
ESPORTSTMNT02_3045480,10,Zven
ESPORTSTMNT02_3045503,1,Wayward
ESPORTSTMNT02_3045503,2,Tian
ESPORTSTMNT02_3045503,3,knight
ESPORTSTMNT02_3045503,4,JackeyLove
ESPORTSTMNT02_3045503,5,Mark
ESPORTSTMNT02_3045503,6,Kiaya
ESPORTSTMNT02_3045503,7,Levi
ESPORTSTMNT02_3045503,8,Kati
ESPORTSTMNT02_3045503,9,Sty1e
ESPORTSTMNT02_3045503,10,Bie
ESPORTSTMNT02_3045518,1,Nuguri
ESPORTSTMNT02_3045518,2,Canyon
ESPORTSTMNT02_3045518,3,ShowMaker
ESPORTSTMNT02_3045518,4,deokdam
ESPORTSTMNT02_3045518,5,Kellin
ESPORTSTMNT02_3045518,6,369
ESPORTSTMNT02_3045518,7,Kanavi
ESPORTSTMNT02_3045518,8,Yagao
ESPORTSTMNT02_3045518,9,Hope
ESPORTSTMNT02_3045518,10,MISSING
ESPORTSTMNT02_3045836,1,Kiaya
ESPORTSTMNT02_3045836,2,Levi
ESPORTSTMNT02_3045836,3,Kati
ESPORTSTMNT02_3045836,4,Sty1e
ESPORTSTMNT02_3045836,5,Bie
ESPORTSTMNT02_3045836,6,Odoamne
ESPORTSTMNT02_3045836,7,Malrang
ESPORTSTMNT02_3045836,8,Larssen
ESPORTSTMNT02_3045836,9,Comp
ESPORTSTMNT02_3045836,10,Trymbi
ESPORTSTMNT02_3045853,1,Ssumday
ESPORTSTMNT02_3045853,2,Closer
ESPORTSTMNT02_3045853,3,Abbedagge
ESPORTSTMNT02_3045853,4,FBI
ESPORTSTMNT02_3045853,5,huhi
ESPORTSTMNT02_3045853,6,Doran
ESPORTSTMNT02_3045853,7,Peanut
ESPORTSTMNT02_3045853,8,Chovy
ESPORTSTMNT02_3045853,9,Ruler
ESPORTSTMNT02_3045853,10,Lehends
ESPORTSTMNT02_3045864,1,Flandre
ESPORTSTMNT02_3045864,2,Jiejie
ESPORTSTMNT02_3045864,3,Scout
ESPORTSTMNT02_3045864,4,Viper
ESPORTSTMNT02_3045864,5,Meiko
ESPORTSTMNT02_3045864,6,Wunder
ESPORTSTMNT02_3045864,7,Razork
ESPORTSTMNT02_3045864,8,Humanoid
ESPORTSTMNT02_3045864,9,Upset
ESPORTSTMNT02_3045864,10,Hylissang
ESPORTSTMNT02_3045877,1,Fudge
ESPORTSTMNT02_3045877,2,Blaber
ESPORTSTMNT02_3045877,3,Jensen
ESPORTSTMNT02_3045877,4,Berserker
ESPORTSTMNT02_3045877,5,Zven
